Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,03:25,07h 35m,873,20 Seats available,"4.0
10",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67098,Volvo AC Seater (2+2),19:50,04:05,08h 15m,997,22 Seats available,"4.7
15",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,03:50,07h 00m,873,38 Seats available,"4.1
33",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67128,Volvo AC Seater (2+2),20:50,04:50,08h 00m,997,38 Seats available,"4.5
8",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,04:50,07h 00m,873,29 Seats available,"4.2
23",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
PEPSU (Punjab) - 67164,Volvo AC Seater (2+2),21:50,05:50,08h 00m,997,27 Seats available,"4.8
6",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
NueGo,Electric A/C Seater (2+2),23:15,05:05,05h 50m,448,12 Seats available,"4.0
317",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Deltin Travels Pvt Ltd,Bharat Benz A/C Seater /Sleeper (2+1),22:00,05:00,07h 00m,599,9 Seats available,"4.8
6",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,500,10 Seats available,"4.6
482",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
AdArmaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,554,22 Seats available,"3.6
52",Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
